Date,Open,High,Low,Close
01/07/2025,"42,809.71","42,931.54","42,380.75","42,528.36"
01/06/2025,"42,835.52","43,115.31","42,611.16","42,706.56"
01/03/2025,"42,495.76","42,782.76","42,436.92","42,732.13"
01/02/2025,"42,660.09","42,905.09","42,174.80","42,392.27"
12/31/2024,"42,636.70","42,779.69","42,421.29","42,544.22"
12/30/2024,"42,863.86","42,863.86","42,263.51","42,573.73"
12/27/2024,"43,142.37","43,238.85","42,761.56","42,992.21"
12/26/2024,"43,201.85","43,373.98","43,115.09","43,325.80"
12/24/2024,"42,916.48","43,297.65","42,871.76","43,297.03"
12/23/2024,"42,800.49","42,957.79","42,516.87","42,906.95"
12/20/2024,"42,296.26","43,216.03","42,146.33","42,840.26"
12/19/2024,"42,464.13","42,787.85","42,334.13","42,342.24"
12/18/2024,"43,459.72","43,688.97","42,300.04","42,326.87"
12/17/2024,"43,656.47","43,656.47","43,336.22","43,449.90"
12/16/2024,"43,825.76","43,951.58","43,686.85","43,717.48"
12/13/2024,"43,929.15","44,054.23","43,790.48","43,828.06"
12/12/2024,"44,168.66","44,208.60","43,903.27","43,914.12"
12/11/2024,"44,300.41","44,376.18","44,135.74","44,148.56"
12/10/2024,"44,291.57","44,470.84","44,186.66","44,247.83"
12/09/2024,"44,637.97","44,728.51","44,382.83","44,401.93"
12/06/2024,"44,824.29","44,923.74","44,596.46","44,642.52"
12/05/2024,"45,038.44","45,059.94","44,747.14","44,765.71"
12/04/2024,"44,941.05","45,073.63","44,799.74","45,014.04"
12/03/2024,"44,769.58","44,914.68","44,574.78","44,705.53"
12/02/2024,"44,925.86","45,001.66","44,710.16","44,782.00"
11/29/2024,"44,760.05","45,071.29","44,760.05","44,910.65"
11/27/2024,"44,837.75","45,003.06","44,690.23","44,722.06"
11/26/2024,"44,614.89","44,903.01","44,426.66","44,860.31"
11/25/2024,"44,385.49","44,815.67","44,385.49","44,736.57"
11/22/2024,"43,871.63","44,323.95","43,871.63","44,296.51"
11/21/2024,"43,538.70","44,020.31","43,345.58","43,870.35"
11/20/2024,"43,296.05","43,465.77","43,074.86","43,408.47"
11/19/2024,"43,243.27","43,380.97","42,938.87","43,268.94"
11/18/2024,"43,431.89","43,505.66","43,297.57","43,389.60"
11/15/2024,"43,587.93","43,647.53","43,350.43","43,444.99"
11/14/2024,"44,032.38","44,080.78","43,704.82","43,750.86"
11/13/2024,"43,880.46","44,141.33","43,829.98","43,958.19"
11/12/2024,"44,359.21","44,405.73","43,887.27","43,910.98"
11/11/2024,"44,057.65","44,486.70","44,057.65","44,293.13"
11/08/2024,"43,768.53","44,157.29","43,733.86","43,988.99"
